Time, Value
0, 3.858025e+14
0.0001, 3.858025e+14
0.0002, 3.858025e+14
0.0003, 3.858025e+14
0.0004, 3.858025e+14
0.0005, 3.858025e+14
0.0006, 3.858025e+14
0.0007, 3.858029e+14
0.0008, 3.858044e+14
0.0009, 3.858094e+14
0.001, 3.858243e+14
0.0011, 3.858630e+14
0.0012, 3.859507e+14
0.0013, 3.861221e+14
0.0014, 3.864113e+14
0.0015, 3.868370e+14
0.0016, 3.873951e+14
0.0017, 3.880634e+14
0.0018, 3.888138e+14
0.0019, 3.896211e+14
0.002, 3.904674e+14
0.0021, 3.913407e+14
0.0022, 3.922337e+14
0.0023, 3.931416e+14
0.0024, 3.940615e+14
0.0025, 3.949914e+14
0.0026, 3.959299e+14
0.0027, 3.968760e+14
0.0028, 3.978291e+14
0.0029, 3.987886e+14
0.003, 3.997541e+14
0.0031, 4.007252e+14
0.0032, 4.017015e+14
0.0033, 4.026827e+14
0.0034, 4.036685e+14
0.0035, 4.046585e+14
0.0036, 4.056525e+14
0.0037, 4.066502e+14
0.0038, 4.076512e+14
0.0039, 4.086554e+14
0.004, 4.096626e+14
0.0041, 4.106726e+14
0.0042, 4.116853e+14
0.0043, 4.127004e+14
0.0044, 4.137180e+14
0.0045, 4.147379e+14
0.0046, 4.157600e+14
0.0047, 4.167842e+14
0.0048, 4.178105e+14
0.0049, 4.188387e+14
0.005, 4.198688e+14
0.0051, 4.209008e+14
0.0052, 4.219345e+14
0.0053, 4.229700e+14
0.0054, 4.240071e+14
0.0055, 4.250459e+14
0.0056, 4.260863e+14
0.0057, 4.271282e+14
0.0058, 4.281716e+14
0.0059, 4.292165e+14
0.006, 4.302629e+14
0.0061, 4.313106e+14
0.0062, 4.323597e+14
0.0063, 4.334102e+14
0.0064, 4.344620e+14
0.0065, 4.355150e+14
0.0066, 4.365694e+14
0.0067, 4.376249e+14
0.0068, 4.386817e+14
0.0069, 4.397397e+14
0.007, 4.407989e+14
0.0071, 4.418592e+14
0.0072, 4.429206e+14
0.0073, 4.439832e+14
0.0074, 4.450469e+14
0.0075, 4.461116e+14
0.0076, 4.471775e+14
0.0077, 4.482443e+14
0.0078, 4.493123e+14
0.0079, 4.503812e+14
0.008, 4.514512e+14
0.0081, 4.525221e+14
0.0082, 4.535941e+14
0.0083, 4.546670e+14
0.0084, 4.557408e+14
