time, Epsilon_0, Epsilon_1, Epsilon_2, Epsilon_3, Epsilon_4, Epsilon_5, PEEQ, Rate_0, Rate_1, Rate_2, Rate_3, Rate_4, Rate_5
0, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00, 0.00000e+00
0.0001, 0.00000e+00, 0.00000e+00, -4.66294e-19, -2.06292e-18, 1.89244e-18, 1.29243e-18, 4.98421e-18, 0.00000e+00, 0.00000e+00, -4.66294e-15, -2.06292e-14, 1.89244e-14, 1.29243e-14
0.0002, 3.98046e-14, -1.43547e-14, -2.54540e-14, -5.86198e-15, 5.38643e-15, 3.67042e-15, 4.44603e-14, 3.98046e-10, -1.43547e-10, -2.54535e-10, -5.85992e-11, 5.38454e-11, 3.66912e-11
0.0003, 3.81584e-12, -1.37695e-12, -2.43889e-12, -5.61084e-13, 5.15781e-13, 3.51244e-13, 4.26015e-12, 3.77603e-08, -1.36260e-08, -2.41344e-08, -5.55222e-09, 5.10395e-09, 3.47574e-09
0.0004, 9.48836e-11, -3.42388e-11, -6.06448e-11, -1.39548e-11, 1.28296e-11, 8.73479e-12, 1.05933e-10, 9.10677e-07, -3.28618e-07, -5.82059e-07, -1.33937e-07, 1.23138e-07, 8.38355e-08
0.0005, 1.13699e-09, -4.10295e-10, -7.26696e-10, -1.67241e-10, 1.53755e-10, 1.04674e-10, 1.26941e-09, 1.04211e-05, -3.76056e-06, -6.66051e-06, -1.53286e-06, 1.40926e-06, 9.59387e-07
0.0006, 8.60981e-09, -3.10712e-09, -5.50269e-09, -1.26656e-09, 1.16425e-09, 7.92669e-10, 9.61265e-09, 7.47282e-05, -2.69683e-05, -4.77599e-05, -1.09932e-05, 1.01050e-05, 6.87995e-06
0.0007, 4.75418e-08, -1.71592e-08, -3.03826e-08, -6.99527e-09, 6.42667e-09, 4.37776e-09, 5.30796e-08, 3.89320e-04, -1.40521e-04, -2.48799e-04, -5.72871e-05, 5.26241e-05, 3.58510e-05
0.0008, 2.08261e-07, -7.51930e-08, -1.33068e-07, -3.06654e-08, 2.81213e-08, 1.91910e-08, 2.32522e-07, 1.60719e-03, -5.80338e-04, -1.02685e-03, -2.36701e-04, 2.16946e-04, 1.48133e-04
0.0009, 7.62669e-07, -2.75621e-07, -4.87046e-07, -1.12545e-07, 1.02647e-07, 7.04405e-08, 8.51530e-07, 5.54408e-03, -2.00428e-03, -3.53978e-03, -8.18795e-04, 7.45257e-04, 5.12495e-04
0.001, 2.41052e-06, -8.73223e-07, -1.53727e-06, -3.57796e-07, 3.21667e-07, 2.24000e-07, 2.69150e-06, 1.64785e-02, -5.97602e-03, -1.05022e-02, -2.45251e-03, 2.19020e-03, 1.53559e-03
0.0011, 6.68331e-06, -2.43426e-06, -4.24887e-06, -1.00553e-06, 8.74369e-07, 6.29587e-07, 7.46308e-06, 4.27280e-02, -1.56104e-02, -2.71160e-02, -6.47732e-03, 5.52702e-03, 4.05587e-03
0.0012, 1.63237e-05, -6.00863e-06, -1.03140e-05, -2.52216e-06, 2.05251e-06, 1.57663e-06, 1.82310e-05, 9.64037e-02, -3.57437e-02, -6.06514e-02, -1.51664e-02, 1.17814e-02, 9.47043e-03
0.0013, 3.50864e-05, -1.31345e-05, -2.19474e-05, -5.65904e-06, 4.12351e-06, 3.51460e-06, 3.91919e-05, 1.87627e-01, -7.12583e-02, -1.16334e-01, -3.13688e-02, 2.07100e-02, 1.93797e-02
0.0014, 6.65409e-05, -2.54544e-05, -4.10718e-05, -1.13478e-05, 7.10123e-06, 6.95513e-06, 7.43275e-05, 3.14545e-01, -1.23199e-01, -1.91244e-01, -5.68877e-02, 2.97772e-02, 3.44053e-02
