TimeStep Time Epsilon_xx Epsilon_yy Epsilon_zz Epsilon_yz Epsilon_xz Epsilon_xy Sigma_xx Sigma_yy Sigma_zz Sigma_yz Sigma_xz Sigma_xy Mises Pressure Norm
0 0 1.86612e-16 1.88595e-16 2.2287e-16 1.25897e-16 1.91879e-16 2.1602e-17 -0.000110573 -0.000110166 -0.000114184 -8.47096e-06 -1.21987e-05 -1.52394e-06 2.61408e-05 0.000111641 0.000194542
10 0.01 0.0001 -3.43009e-05 -3.6268e-05 -2.96527e-06 -3.56654e-06 3.07926e-06 1.64827e+07 340.497 2695.91 90.7082 -747.837 -285.331 1.64812e+07 -5.49526e+06 1.64827e+07
20 0.02 0.0002 -6.85987e-05 -7.25438e-05 -5.9352e-06 -7.12674e-06 6.16115e-06 3.29625e+07 341.022 2695.08 90.7994 -747.575 -285.427 3.2961e+07 -1.09885e+07 3.29625e+07
30 0.03 0.0003 -0.000102897 -0.000108819 -8.90546e-06 -1.06878e-05 9.24294e-06 4.94427e+07 341.545 2694.25 90.8903 -747.313 -285.523 4.94411e+07 -1.64819e+07 4.94427e+07
40 0.04 0.0004 -0.000137196 -0.000145095 -1.1876e-05 -1.42498e-05 1.23246e-05 6.59231e+07 342.065 2693.42 90.9812 -747.053 -285.619 6.59216e+07 -2.19754e+07 6.59231e+07
50 0.05 0.0005 -0.000171496 -0.000181371 -1.4847e-05 -1.78125e-05 1.54062e-05 8.24038e+07 342.583 2692.61 91.0755 -746.801 -285.717 8.24023e+07 -2.7469e+07 8.24038e+07
60 0.06 0.0006 -0.000205796 -0.000217648 -1.78188e-05 -2.1375e-05 1.84876e-05 9.88838e+07 343.095 2691.94 91.1907 -746.593 -285.824 9.88823e+07 -3.29623e+07 9.88838e+07
70 0.07 0.0007 -0.000240098 -0.000253934 -2.07935e-05 -2.49334e-05 2.15685e-05 1.15359e+08 343.59 2691.85 91.3947 -746.566 -285.973 1.15357e+08 -3.8454e+07 1.15359e+08
80 0.08 0.0008 -0.000274405 -0.000290251 -2.37783e-05 -2.84729e-05 2.46476e-05 1.31814e+08 344.034 2693.74 91.9001 -747.15 -286.258 1.31812e+08 -4.39389e+07 1.31814e+08
90 0.09 0.0009 -0.000308727 -0.000326672 -2.67953e-05 -3.19499e-05 2.77217e-05 1.48203e+08 344.356 2701.15 93.272 -749.46 -286.938 1.48201e+08 -4.94019e+07 1.48203e+08
100 0.1 0.001 -0.000343088 -0.000363379 -2.99035e-05 -3.52529e-05 3.07855e-05 1.64408e+08 344.491 2721.62 96.8055 -755.953 -288.611 1.64407e+08 -5.48038e+07 1.64408e+08
110 0.11 0.0011 -0.000377549 -0.000400764 -3.32428e-05 -3.81459e-05 3.38453e-05 1.80173e+08 344.828 2766.77 105.002 -770.942 -292.501 1.80172e+08 -6.00588e+07 1.80173e+08
120 0.12 0.0012 -0.000412234 -0.000439509 -3.711e-05 -4.02387e-05 3.69842e-05 1.95041e+08 347.835 2844.85 121.503 -799.429 -300.536 1.9504e+08 -6.50148e+07 1.95041e+08
130 0.13 0.0013 -0.000447363 -0.000480475 -4.20427e-05 -4.10913e-05 4.05069e-05 2.08396e+08 360.442 2944.93 149.266 -842.028 -313.855 2.08394e+08 -6.94663e+07 2.08396e+08
140 0.14 0.0014 -0.000483235 -0.000524364 -4.87984e-05 -4.04661e-05 4.50305e-05 2.19667e+08 391.931 3035.41 187.906 -888.761 -328.865 2.19665e+08 -7.32234e+07 2.19667e+08
150 0.15 0.0015 -0.000520104 -0.000571389 -5.80927e-05 -3.84607e-05 5.12346e-05 2.28582e+08 165.843 1068.17 200.016 -342.098 -133.512 2.28582e+08 -7.61945e+07 2.28582e+08
160 0.16 0.0016 -0.00055807 -0.000621204 -7.0221e-05 -3.54034e-05 5.94423e-05 2.3528e+08 189.278 1075.06 220.018 -342.088 -126.289 2.3528e+08 -7.84272e+07 2.3528e+08
170 0.17 0.0017 -0.000597039 -0.000673152 -8.49701e-05 -3.16084e-05 6.95071e-05 2.40182e+08 217.192 1067.38 247.463 -334.661 -115.02 2.40181e+08 -8.00611e+07 2.40182e+08
180 0.18 0.0018 -0.00063684 -0.000726515 -0.000101852 -2.73074e-05 8.10132e-05 2.43791e+08 224.212 1072.63 257.815 -322.66 -102.918 2.4379e+08 -8.12641e+07 2.43791e+08
190 0.19 0.0019 -0.00067728 -0.000780732 -0.000120305 -2.26575e-05 9.35136e-05 2.46536e+08 235.644 1088.93 282.061 -316.154 -93.0277 2.46535e+08 -8.2179e+07 2.46536e+08
200 0.2 0.002 -0.000718211 -0.000835417 -0.000139886 -1.7767e-05 0.000106644 2.48719e+08 240.634 1088.79 294.445 -306.391 -85.0421 2.48718e+08 -8.29067e+07 2.48719e+08
210 0.21 0.0021 -0.000759522 -0.000890338 -0.000160267 -1.27157e-05 0.000120141 2.50535e+08 242.886 1089.45 303.875 -298.667 -79.4378 2.50534e+08 -8.3512e+07 2.50535e+08
220 0.22 0.0022 -0.000801133 -0.000945359 -0.000181205 -7.56994e-06 0.000133824 2.52107e+08 668.198 3100.92 472.66 -863.701 -268.354 2.52105e+08 -8.40369e+07 2.52107e+08
230 0.23 0.0023 -0.000842979 -0.00100042 -0.000202546 -2.37424e-06 0.000147591 2.53505e+08 671.352 3101.43 483.275 -858.375 -268.765 2.53503e+08 -8.45028e+07 2.53505e+08
240 0.24 0.0024 -0.000885016 -0.00105549 -0.00022417 2.83826e-06 0.000161348 2.54775e+08 672.512 3101.99 490.119 -855.228 -270.683 2.54773e+08 -8.49263e+07 2.54775e+08
250 0.25 0.0025 -0.000927211 -0.00111054 -0.000245996 8.03321e-06 0.000175061 2.55948e+08 672.386 3102.37 494.012 -853.686 -273.993 2.55946e+08 -8.53173e+07 2.55948e+08
260 0.26 0.0026 -0.000969541 -0.00116556 -0.000267969 1.31858e-05 0.000188708 2.57044e+08 671.511 3102.39 495.598 -853.338 -278.285 2.57042e+08 -8.56825e+07 2.57044e+08
270 0.27 0.0027 -0.00101199 -0.00122054 -0.000290051 1.82755e-05 0.000202279 2.58076e+08 670.291 3101.92 495.396 -853.842 -283.219 2.58074e+08 -8.60264e+07 2.58076e+08
280 0.28 0.0028 -0.00105456 -0.00127547 -0.000312215 2.32852e-05 0.000215776 2.59053e+08 669.029 3100.87 493.827 -854.918 -288.516 2.59051e+08 -8.63523e+07 2.59053e+08
290 0.29 0.0029 -0.00109724 -0.00133034 -0.000334446 2.82007e-05 0.000229202 2.59984e+08 667.944 3099.18 491.232 -856.343 -293.95 2.59982e+08 -8.66626e+07 2.59984e+08
300 0.3 0.003 -0.00114003 -0.00138514 -0.000356732 3.30104e-05 0.000242566 2.60874e+08 667.17 3096.86 487.886 -857.945 -299.339 2.60872e+08 -8.69592e+07 2.60874e+08
310 0.31 0.0031 -0.00118294 -0.00143986 -0.000379062 3.77058e-05 0.000255874 2.61727e+08 666.763 3093.96 484.012 -859.601 -304.545 2.61725e+08 -8.72435e+07 2.61727e+08
320 0.32 0.0032 -0.00122597 -0.00149448 -0.000401428 4.22813e-05 0.000269133 2.62547e+08 666.715 3090.56 479.786 -861.226 -309.471 2.62545e+08 -8.7517e+07 2.62547e+08
330 0.33 0.0033 -0.00126913 -0.001549 -0.000423819 4.67347e-05 0.000282349 2.63338e+08 666.975 3086.78 475.342 -862.765 -314.055 2.63336e+08 -8.77807e+07 2.63338e+08
340 0.34 0.0034 -0.0013124 -0.00160342 -0.000446221 5.10661e-05 0.000295527 2.64103e+08 667.479 3082.72 470.783 -864.185 -318.267 2.64101e+08 -8.80357e+07 2.64103e+08
350 0.35 0.0035 -0.00135578 -0.00165774 -0.000468621 5.52782e-05 0.00030867 2.64845e+08 668.164 3078.48 466.18 -865.467 -322.096 2.64843e+08 -8.8283e+07 2.64845e+08
360 0.36 0.0036 -0.00139928 -0.00171195 -0.000491006 5.93751e-05 0.00032178 2.65567e+08 668.98 3074.13 461.582 -866.598 -325.548 2.65565e+08 -8.85235e+07 2.65567e+08
370 0.37 0.0037 -0.00144288 -0.00176606 -0.000513362 6.33619e-05 0.000334859 2.6627e+08 669.891 3069.72 457.025 -867.572 -328.638 2.66268e+08 -8.87579e+07 2.6627e+08
380 0.38 0.0038 -0.00148657 -0.00182008 -0.000535678 6.7244e-05 0.000347907 2.66957e+08 670.872 3065.29 452.53 -868.39 -331.388 2.66955e+08 -8.89869e+07 2.66957e+08
390 0.39 0.0039 -0.00153035 -0.001874 -0.000557943 7.1027e-05 0.000360925 2.6763e+08 671.902 3060.86 448.114 -869.052 -333.823 2.67628e+08 -8.92112e+07 2.6763e+08
400 0.4 0.004 -0.00157421 -0.00192784 -0.000580148 7.47163e-05 0.000373914 2.6829e+08 672.967 3056.47 443.788 -869.564 -335.971 2.68288e+08 -8.94313e+07 2.6829e+08
410 0.41 0.0041 -0.00161815 -0.00198158 -0.000602286 7.83169e-05 0.000386872 2.68939e+08 674.054 3052.12 439.56 -869.935 -337.857 2.68937e+08 -8.96475e+07 2.68939e+08
420 0.42 0.0042 -0.00166216 -0.00203524 -0.00062435 8.18336e-05 0.000399801 2.69577e+08 675.149 3047.83 435.437 -870.175 -339.508 2.69576e+08 -8.98604e+07 2.69577e+08
430 0.43 0.0043 -0.00170625 -0.00208882 -0.000646337 8.52707e-05 0.0004127 2.70207e+08 676.242 3043.63 431.423 -870.294 -340.948 2.70205e+08 -9.00701e+07 2.70207e+08
440 0.44 0.0044 -0.00175039 -0.00214232 -0.000668241 8.86321e-05 0.000425569 2.70827e+08 677.322 3039.52 427.523 -870.304 -342.201 2.70825e+08 -9.0277e+07 2.70827e+08
450 0.45 0.0045 -0.0017946 -0.00219575 -0.00069006 9.19215e-05 0.000438407 2.7144e+08 678.38 3035.51 423.738 -870.217 -343.286 2.71439e+08 -9.04814e+07 2.7144e+08
460 0.46 0.0046 -0.00183886 -0.0022491 -0.000711791 9.51422e-05 0.000451215 2.72046e+08 679.409 3031.61 420.07 -870.042 -344.223 2.72044e+08 -9.06833e+07 2.72046e+08
470 0.47 0.0047 -0.00188317 -0.00230238 -0.000733434 9.82973e-05 0.000463992 2.72646e+08 680.403 3027.84 416.522 -869.79 -345.028 2.72644e+08 -9.08831e+07 2.72646e+08
480 0.48 0.0048 -0.00192754 -0.00235558 -0.000754986 0.00010139 0.000476738 2.73239e+08 681.359 3024.19 413.092 -869.469 -345.716 2.73237e+08 -9.10809e+07 2.73239e+08
490 0.49 0.0049 -0.00197195 -0.00240873 -0.000776448 0.000104422 0.000489452 2.73827e+08 682.276 3020.67 409.78 -869.087 -346.298 2.73825e+08 -9.12768e+07 2.73827e+08
500 0.5 0.005 -0.00201641 -0.0024618 -0.000797819 0.000107396 0.000502136 2.74409e+08 683.151 3017.28 406.585 -868.652 -346.786 2.74407e+08 -9.1471e+07 2.74409e+08
510 0.51 0.0051 -0.00206091 -0.00251481 -0.0008191 0.000110315 0.000514788 2.74987e+08 683.986 3014.01 403.504 -868.169 -347.19 2.74985e+08 -9.16635e+07 2.74987e+08
520 0.52 0.0052 -0.00210546 -0.00256776 -0.000840291 0.000113181 0.000527409 2.7556e+08 684.783 3010.88 400.536 -867.643 -347.517 2.75558e+08 -9.18545e+07 2.7556e+08
530 0.53 0.0053 -0.00215004 -0.00262065 -0.000861392 0.000115996 0.000539998 2.76128e+08 685.543 3007.87 397.677 -867.081 -347.774 2.76127e+08 -9.2044e+07 2.76128e+08
540 0.54 0.0054 -0.00219465 -0.00267348 -0.000882403 0.000118762 0.000552557 2.76693e+08 686.269 3004.99 394.924 -866.485 -347.968 2.76691e+08 -9.22322e+07 2.76693e+08
550 0.55 0.0055 -0.0022393 -0.00272626 -0.000903327 0.000121482 0.000565084 2.77254e+08 686.965 3002.23 392.275 -865.859 -348.103 2.77252e+08 -9.24191e+07 2.77254e+08
560 0.56 0.0056 -0.00228399 -0.00277898 -0.000924164 0.000124156 0.00057758 2.77811e+08 687.634 2999.58 389.725 -865.207 -348.184 2.77809e+08 -9.26049e+07 2.77811e+08
570 0.57 0.0057 -0.0023287 -0.00283164 -0.000944915 0.000126787 0.000590045 2.78365e+08 688.278 2997.05 387.271 -864.531 -348.215 2.78363e+08 -9.27895e+07 2.78365e+08
580 0.58 0.0058 -0.00237344 -0.00288425 -0.00096558 0.000129376 0.00060248 2.78915e+08 688.903 2994.63 384.909 -863.834 -348.199 2.78913e+08 -9.2973e+07 2.78915e+08
590 0.59 0.0059 -0.00241821 -0.00293681 -0.000986162 0.000131925 0.000614885 2.79463e+08 689.511 2992.32 382.636 -863.118 -348.14 2.79461e+08 -9.31555e+07 2.79463e+08
600 0.6 0.006 -0.00246301 -0.00298932 -0.00100666 0.000134437 0.000627259 2.80007e+08 690.105 2990.1 380.448 -862.386 -348.039 2.80005e+08 -9.3337e+07 2.80007e+08
610 0.61 0.0061 -0.00250782 -0.00304179 -0.00102708 0.000136911 0.000639603 2.80549e+08 690.688 2987.99 378.342 -861.637 -347.901 2.80547e+08 -9.35175e+07 2.80549e+08
620 0.62 0.0062 -0.00255267 -0.0030942 -0.00104742 0.00013935 0.000651918 2.81088e+08 691.264 2985.97 376.314 -860.876 -347.726 2.81086e+08 -9.36972e+07 2.81088e+08
630 0.63 0.0063 -0.00259753 -0.00314657 -0.00106767 0.000141754 0.000664204 2.81625e+08 691.834 2984.05 374.361 -860.101 -347.517 2.81623e+08 -9.38761e+07 2.81625e+08
640 0.64 0.0064 -0.00264242 -0.00319889 -0.00108785 0.000144126 0.000676461 2.82159e+08 692.403 2982.21 372.479 -859.316 -347.276 2.82157e+08 -9.40541e+07 2.82159e+08
650 0.65 0.0065 -0.00268732 -0.00325116 -0.00110796 0.000146467 0.000688689 2.8269e+08 692.97 2980.46 370.666 -858.521 -347.004 2.82689e+08 -9.42314e+07 2.8269e+08
660 0.66 0.0066 -0.00273224 -0.0033034 -0.00112799 0.000148777 0.000700889 2.8322e+08 693.54 2978.79 368.918 -857.718 -346.703 2.83218e+08 -9.44079e+07 2.8322e+08
